disasterNumber,State,Title, FederalFunded ,ProjectAmount
1948,Virgin Islands of the U.S.,"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES"," $1,001,309.80 ",1320336.98
1946,Puerto Rico,"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES ASSOC W TS OTTO"," $22,359,797.02 ",29618120.77
4061,West Virginia,"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANSLIDES"," $4,261,453.30 ",5671342.84
1865,Alaska,"SEVERE STORMS, FLOODING, MUDSLIDES, AND ROCKSLIDES"," $3,950,737.77 ",5231604.93
1912,Kentucky,"SEVERE STORMS, FLOODING, MUDSLIDES, AND TORNADOES"," $22,592,444.08 ",25153449.32
1949,Virgin Islands of the U.S.,"SEVERE STORMS, FLOODING, ROCKSLIDES, AND MUDSLIDES ASSOC. WITH TS TOMAS"," $1,840,022.30 ",2438818.93
1849,Kansas,"SEVERE STORMS, FLOODING, STRAIGHT-LINE WINDS, AND TORNADOES"," $11,534,817.80 ",15269232.73
1909,Tennessee,"SEVERE STORMS, FLOODING, STRAIGHT-LINE WINDS, AND TORNADOES "," $218,783,026.27 ",242780497.1
1945,Nebraska,"SEVERE STORMS, FLOODING, TORNADO, AND STRAIGHT-LIN"," $2,138,551.99 ",2848751.18
1835,Alabama,"SEVERE STORMS, FLOODING, TORNADOES & STRAIGHT-LINE"," $18,067,054.08 ",23924593.54
1993,New York,"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS"," $34,389,479.69 ",45852636.88
1831,Florida,"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS"," $31,109,305.66 ",41107071.65
1833,Georgia,"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS"," $21,085,898.04 ",28120970.11
1978,Tennessee,"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS"," $7,041,838.42 ",9375389.26
1836,Alabama,"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS"," $6,100,444.28 ",8037959.11
1840,Florida,"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS"," $5,428,044.90 ",7169672.79
1743,Hawaii,"SEVERE STORMS, HIGH SURF, FLOODING, AND MUDSLIDES"," $2,629,570.00 ",3472117.28
1902,Nebraska,"SEVERE STORMS, ICE JAMS, AND FLOODING"," $3,112,391.72 ",4134085.23
4144,Missouri,"SEVERE STORMS, STRAIGHT-LINE WINDS AND FLOODING"," $17,858,421.54 ",23616765.72
1855,Kentucky,"SEVERE STORMS, STRAIGHT-LINE WINDS AND FLOODING"," $6,277,778.64 ",8141919.92
4162,Alaska,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"," $32,950,593.68 ",43604541.51
4320,Tennessee,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"," $31,888,675.97 ",41106267.92
4116,Illinois,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"," $29,762,490.92 ",39820632.31
4131,Minnesota,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"," $14,013,795.73 ",18483339.81
1779,Nebraska,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"," $12,058,395.64 ",16067035.08
4119,Iowa,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"," $7,594,458.33 ",10046486.14
4016,Iowa,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"," $5,743,591.77 ",7718310.96
4281,Iowa,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"," $5,730,801.26 ",7650547.61
4198,Montana,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"," $1,617,821.78 ",2172534.04
4347,Kansas,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"," $516,277.23 ",675844.96
4058,Indiana,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES"," $4,896,874.71 ",6504167.76
4343,Wisconsin,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUD"," $4,996,016.07 ",6652021.48
4182,Minnesota,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $41,197,508.08 ",54459727.13
4249,Washington,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $22,492,898.52 ",29286201.7
4236,West Virginia,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $9,037,157.59 ",12024066.48
4005,Tennessee,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND"," $7,132,344.90 ",9438855.2
1979,Tennessee,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING"," $19,267,197.85 ",25465741.04
4150,Kansas,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING"," $10,135,201.52 ",13417135.03
4130,Missouri,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING"," $9,033,804.83 ",11539147.7
4010,Kansas,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING"," $7,283,728.86 ",9760671.76
1782,New Hampshire,"SEVERE STORMS, TORNADO, AND FLOODING"," $1,269,313.62 ",1692123.61
4125,South Dakota,"SEVERE STORMS, TORNADO, AND FLOODING"," $1,215,685.33 ",1610053.18
1975,Arkansas,"SEVERE STORMS, TORNADOES, AND ASSOCIATED FLOODING"," $50,084,116.21 ",66866095.22
1763,Iowa,"SEVERE STORMS, TORNADOES, AND FLOODING"," $1,153,943,350.92 ",1278653437
1980,Missouri,"SEVERE STORMS, TORNADOES, AND FLOODING"," $161,381,845.41 ",231537592.9
4175,Mississippi,"SEVERE STORMS, TORNADOES, AND FLOODING"," $88,479,552.03 ",116482653.1
4117,Oklahoma,"SEVERE STORMS, TORNADOES, AND FLOODING"," $54,132,686.95 ",69260447.63
1768,Wisconsin,"SEVERE STORMS, TORNADOES, AND FLOODING"," $48,563,081.65 ",62637325.62
1751,Arkansas,"SEVERE STORMS, TORNADOES, AND FLOODING"," $41,085,016.65 ",54339230.56
1770,Nebraska,"SEVERE STORMS, TORNADOES, AND FLOODING"," $36,258,650.19 ",48290694.21
1976,Kentucky,"SEVERE STORMS, TORNADOES, AND FLOODING"," $32,295,722.74 ",42777097.49
1847,Missouri,"SEVERE STORMS, TORNADOES, AND FLOODING"," $27,072,334.75 ",35946967.93
1754,Oklahoma,"SEVERE STORMS, TORNADOES, AND FLOODING"," $21,424,128.64 ",28419445.86
4126,Iowa,"SEVERE STORMS, TORNADOES, AND FLOODING"," $20,510,097.83 ",27192809.52
4266,Texas,"SEVERE STORMS, TORNADOES, AND FLOODING"," $19,903,538.95 ",26233936.77
1969,North Carolina,"SEVERE STORMS, TORNADOES, AND FLOODING"," $19,183,383.24 ",25347831.8
1861,Arkansas,"SEVERE STORMS, TORNADOES, AND FLOODING"," $15,536,008.76 ",20550088.27
1777,Michigan,"SEVERE STORMS, TORNADOES, AND FLOODING"," $14,547,910.96 ",19359750.17
4315,Oklahoma,"SEVERE STORMS, TORNADOES, AND FLOODING"," $13,533,286.63 ",17998596.69
1921,Minnesota,"SEVERE STORMS, TORNADOES, AND FLOODING"," $13,066,488.27 ",17285168.22
4149,Pennsylvania,"SEVERE STORMS, TORNADOES, AND FLOODING"," $12,102,590.99 ",15923410.25
1933,Wisconsin,"SEVERE STORMS, TORNADOES, AND FLOODING"," $11,889,487.96 ",15746676.01
4186,South Dakota,"SEVERE STORMS, TORNADOES, AND FLOODING"," $11,120,552.06 ",14755937.54
1845,Arkansas,"SEVERE STORMS, TORNADOES, AND FLOODING"," $9,418,662.16 ",12435195.41
4124,Arkansas,"SEVERE STORMS, TORNADOES, AND FLOODING"," $8,316,941.51 ",10998898.06
1916,Mississippi,"SEVERE STORMS, TORNADOES, AND FLOODING"," $7,616,372.10 ",8460723.26
1863,Louisiana,"SEVERE STORMS, TORNADOES, AND FLOODING"," $6,310,528.42 ",8355910.66
1803,Oklahoma,"SEVERE STORMS, TORNADOES, AND FLOODING"," $6,149,283.51 ",8144464.48
4139,New Hampshire,"SEVERE STORMS, TORNADOES, AND FLOODING"," $5,903,017.87 ",7858160.18
1906,Mississippi,"SEVERE STORMS, TORNADOES, AND FLOODING"," $5,861,843.01 ",6491004.42
1965,Tennessee,"SEVERE STORMS, TORNADOES, AND FLOODING"," $5,614,462.32 ",7462703.15
1744,Arkansas,"SEVERE STORMS, TORNADOES, AND FLOODING"," $5,020,005.70 ",6634432.41
4135,Iowa,"SEVERE STORMS, TORNADOES, AND FLOODING"," $4,551,830.57 ",6037247.05
1839,Tennessee,"SEVERE STORMS, TORNADOES, AND FLOODING"," $4,546,528.04 ",6043965.7
4101,Mississippi,"SEVERE STORMS, TORNADOES, AND FLOODING"," $4,294,424.33 ",5717334.28
1752,Oklahoma,"SEVERE STORMS, TORNADOES, AND FLOODING"," $3,020,576.08 ",4010102.96
4000,Arkansas,"SEVERE STORMS, TORNADOES, AND FLOODING"," $2,663,059.78 ",3593974.7
4008,Kentucky,"SEVERE STORMS, TORNADOES, AND FLOODING"," $2,563,053.62 ",3372622.12
1742,Missouri,"SEVERE STORMS, TORNADOES, AND FLOODING"," $1,334,506.76 ",1773780.98
1929,South Dakota,"SEVERE STORMS, TORNADOES, AND FLOODING"," $666,648.61 ",886896.75
1765,Nebraska,"SEVERE STORMS, TORNADOES, AND FLOODING"," $499,319.42 ",663361.3
4137,South Dakota,"SEVERE STORMS, TORNADOES, AND FLOODING "," $1,159,221.44 ",1499223.11
1943,New York,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS"," $22,213,776.98 ",29527634.14
4294,Georgia,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS"," $12,693,842.10 ",16233188.41
1917,Oklahoma,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS"," $6,414,974.86 ",8520578.07
1970,Oklahoma,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS"," $4,871,305.30 ",6445429.73
4325,Nebraska,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS"," $2,915,891.78 ",3747335.92
1977,Iowa,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS"," $2,702,114.08 ",3611635.87
1841,Kentucky,"SEVERE STORMS, TORNADOES, FLOODING AND MUDSLIDES"," $32,484,723.10 ",35563041.37
1842,Alabama,"SEVERE STORMS, TORNADOES, FLOODING, AND STRAIGHT-LINE WINDS"," $3,945,262.25 ",5192469.28
4229,Colorado,"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"," $21,643,001.99 ",28605859.02
4217,Kentucky,"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"," $12,960,691.50 ",17040764.62
1769,West Virginia,"SEVERE STORMS, TORNADOES, FLOODING, MUDSLIDES, AND"," $3,985,862.62 ",5299728.86
4059,West Virginia,"SEVERE STORMS, TORNADOES, FLOODING, MUDSLIDES, AND LANDSLIDES"," $6,904,030.53 ",9190205.54
1757,Kentucky,"SEVERE STORMS, TORNADOES, FLOODING, MUDSLIDES, AND LANDSLIDES"," $3,499,571.24 ",4681079.25
4014,Nebraska,"SEVERE STORMS, TORNADOES, STRAIGHT LINE WINDS, AND FLOODING"," $3,362,468.45 ",4477342.64
4223,Texas,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS AND FLOODING"," $155,730,624.70 ",204892354.8
4317,Missouri,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS AND FLOODING"," $60,358,603.85 ",80389527.74
4057,Kentucky,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS AND FLOODING"," $14,740,992.57 ",19500627.27
1997,Indiana,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND"," $13,658,731.09 ",18056787.78
1746,Kentucky,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND"," $4,765,349.85 ",6241569.28
1974,Tennessee,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND ASSOCIATED FLOODING"," $52,052,621.84 ",68838890.25
1972,Mississippi,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND ASSOCIATED FLOODING"," $23,820,766.53 ",31508616.46
1973,Georgia,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND ASSOCIATED FLOODING"," $20,414,118.75 ",27052353.28
1971,Alabama,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $201,458,462.34 ",229013593.3
4177,Florida,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $134,792,640.99 ",178458372.5
4222,Oklahoma,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $67,536,766.02 ",89246115.46
4238,Missouri,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $51,538,284.49 ",68121569.83
4245,Texas,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $42,306,942.78 ",55868367.42
4250,Missouri,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $37,664,340.42 ",49799713.59
4251,Alabama,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $35,263,146.30 ",46545273.49
4176,Alabama,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $34,997,365.92 ",45000191.4
4318,Arkansas,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $23,445,880.57 ",31137578.17
4297,Georgia,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $21,988,189.91 ",28931811.56
4184,Iowa,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $17,675,042.53 ",23293994.78
4314,Mississippi,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $14,861,551.92 ",18763154.38
4187,Iowa,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $14,443,863.93 ",18856651.33
4225,Nebraska,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $13,826,232.47 ",18365499.39
4183,Nebraska,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $12,483,579.65 ",18234383.68
4254,Arkansas,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $11,851,415.87 ",15650022.29
4230,Kansas,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $11,199,522.16 ",14796337.21
4226,Arkansas,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $11,060,954.03 ",14592211.03
4179,Nebraska,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $10,125,817.92 ",13402849.52
1851,Tennessee,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $8,931,032.41 ",11897379.98
4295,Mississippi,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $8,911,281.23 ",11099094.82
4234,Iowa,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $7,750,272.04 ",10203816
1908,Alabama,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $7,358,685.38 ",9748973.09
1989,Oklahoma,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $7,221,515.88 ",9613699.34
4181,Iowa,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $5,810,089.55 ",7631998.68
4200,Missouri,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $5,710,162.12 ",7532820.85
4189,Tennessee,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $5,586,479.78 ",7173688.4
4248,Mississippi,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $5,543,015.89 ",7194737.68
4063,Kansas,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $4,883,032.82 ",6547840.7
4185,Nebraska,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $4,873,269.34 ",6419050.53
4324,Oklahoma,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $3,892,623.84 ",5152345.37
4334,Iowa,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $3,738,657.31 ",4968325.54
1926,Oklahoma,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $3,383,812.10 ",4473785.18
4233,South Dakota,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $3,035,929.15 ",3952217.53
4064,Oklahoma,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $2,923,032.72 ",3866753.92
4270,Arkansas,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $2,380,047.69 ",3127335.48
1745,Tennessee,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING "," $15,849,065.62 ",20984458.79
4239,Kentucky,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDE"," $10,443,806.94 ",13908945.71
4156,Nebraska,"SEVERE STORMS, WINTER STORMS, TORNADOES AND FLOODING"," $2,670,513.58 ",3587337.86
4174,Arkansas,"SEVERE STORMS,TORNADOES, AND FLOODING"," $9,530,678.74 ",13154100.04
1805,Ohio,SEVERE WIND STORM ASSOCIATED WITH TROPICAL DEPRESSION IKE," $38,841,921.56 ",51690278.62
1802,Kentucky,SEVERE WIND STORM ASSOCIATED WITH TROPICAL DEPRESSION IKE," $18,812,748.86 ",24940715.94
4242,Washington,SEVERE WINDSTORM," $6,150,221.43 ",7992232.9
1819,Arkansas,SEVERE WINTER STORM," $226,950,453.81 ",300515235.8
4166,South Carolina,SEVERE WINTER STORM," $221,473,140.75 ",269554641.1
1822,Missouri,SEVERE WINTER STORM," $135,879,596.08 ",181201322.4
1883,Oklahoma,SEVERE WINTER STORM," $119,483,237.17 ",158197692.9
1880,Iowa,SEVERE WINTER STORM," $84,281,914.59 ",112214647.9
1887,South Dakota,SEVERE WINTER STORM," $49,059,867.72 ",65237401.62
4165,Georgia,SEVERE WINTER STORM," $46,114,032.30 ",58357013.83
4167,North Carolina,SEVERE WINTER STORM," $38,781,148.93 ",48514579.89
4299,Oklahoma,SEVERE WINTER STORM," $28,924,322.29 ",38335987.59
1737,Iowa,SEVERE WINTER STORM," $28,052,065.58 ",37296982.21
1901,North Dakota,SEVERE WINTER STORM," $26,651,652.74 ",35489310.62
1868,Kansas,SEVERE WINTER STORM," $19,988,438.27 ",26621054.1
1827,New York,SEVERE WINTER STORM," $18,571,978.65 ",24643912.26
1876,Oklahoma,SEVERE WINTER STORM," $18,085,951.67 ",23993618.13
1812,New Hampshire,SEVERE WINTER STORM," $14,898,663.36 ",19862626.63
4114,Iowa,SEVERE WINTER STORM," $13,282,121.44 ",17507125.6
1879,North Dakota,SEVERE WINTER STORM," $12,773,947.54 ",16999869.04
1826,Illinois,SEVERE WINTER STORM," $11,999,525.10 ",15992056.11
3299,New York,SEVERE WINTER STORM," $11,498,194.84 ",15232303.16
1828,Indiana,SEVERE WINTER STORM," $11,300,288.42 ",14989503.24
4113,Minnesota,SEVERE WINTER STORM," $11,090,674.37 ",14697561.25
4298,South Dakota,SEVERE WINTER STORM," $9,553,842.28 ",12719128.97
1823,Oklahoma,SEVERE WINTER STORM," $9,203,600.91 ",12220935.54
4100,Arkansas,SEVERE WINTER STORM," $8,548,088.10 ",11299005.98
4304,Kansas,SEVERE WINTER STORM," $8,200,780.66 ",10481959.11
4171,Tennessee,SEVERE WINTER STORM," $7,771,590.83 ",9839365.93
1892,New Hampshire,SEVERE WINTER STORM," $6,841,093.22 ",9121385.5
4169,Oregon,SEVERE WINTER STORM," $6,438,008.89 ",8346283.98
1986,North Dakota,SEVERE WINTER STORM," $5,934,923.13 ",7905925.17
4160,Arkansas,SEVERE WINTER STORM," $5,587,008.61 ",7215493.28
1891,Maine,SEVERE WINTER STORM," $5,295,215.58 ",7059992.81
1864,Nebraska,SEVERE WINTER STORM," $5,125,804.16 ",6830735.29
4154,North Dakota,SEVERE WINTER STORM," $4,337,765.50 ",5714999.67
4164,Oklahoma,SEVERE WINTER STORM," $3,976,954.92 ",5164184.4
4207,Vermont,SEVERE WINTER STORM," $3,949,092.78 ",5158630.56
1767,Montana,SEVERE WINTER STORM," $3,346,388.88 ",4471525.67
4302,California,SEVERE WINTER STORM," $3,296,420.33 ",3658077.57
1739,Nebraska,SEVERE WINTER STORM," $2,895,288.73 ",3859012.64
1914,South Dakota,SEVERE WINTER STORM," $1,862,942.69 ",2481773.66
1816,Vermont,SEVERE WINTER STORM," $1,337,879.37 ",1781638.39
4215,Georgia,SEVERE WINTER STORM ," $11,299,141.71 ",14555071.99
4316,New Hampshire,SEVERE WINTER STORM ," $1,687,439.45 ",2195364.99
1962,New Mexico,SEVERE WINTER STORM AND EXTREME COLD TEMPERATURES," $1,801,838.12 ",2386406.61
1818,Kentucky,SEVERE WINTER STORM AND FLOODING," $245,207,244.96 ",324777222.6
1813,Massachusetts,SEVERE WINTER STORM AND FLOODING," $51,897,563.85 ",68593599.29
4211,Tennessee,SEVERE WINTER STORM AND FLOODING," $35,648,331.19 ",46341509.73
4296,Oregon,SEVERE WINTER STORM AND FLOODING," $13,395,543.46 ",17378892.12
1815,Maine,SEVERE WINTER STORM AND FLOODING," $9,781,024.74 ",13031712.97
1955,Utah,SEVERE WINTER STORM AND FLOODING," $8,701,342.50 ",11532889.98
1821,Tennessee,SEVERE WINTER STORM AND FLOODING," $6,143,015.93 ",8158253.19
1825,Washington,SEVERE WINTER STORM AND RECORD AND NEAR RECORD SNOW," $26,341,587.62 ",34812993.19
1848,Kansas,SEVERE WINTER STORM AND RECORD AND NEAR RECORD SNOW," $12,436,207.30 ",16523109.34
1759,South Dakota,SEVERE WINTER STORM AND RECORD AND NEAR RECORD SNOW," $7,826,995.83 ",10431933.72
1811,South Dakota,SEVERE WINTER STORM AND RECORD AND NEAR RECORD SNOW," $5,825,275.23 ",7760668.09
4264,New Jersey,SEVERE WINTER STORM AND SNOWSTORM," $75,444,427.72 ",99762907.91
4261,Maryland,SEVERE WINTER STORM AND SNOWSTORM," $69,605,697.91 ",92722622.31
4109,Oklahoma,SEVERE WINTER STORM AND SNOWSTORM," $58,006,060.87 ",77224277.38
1954,New Jersey,SEVERE WINTER STORM AND SNOWSTORM," $52,385,508.50 ",69282501.13
1960,Illinois,SEVERE WINTER STORM AND SNOWSTORM," $48,259,660.62 ",64176935.84
4262,Virginia,SEVERE WINTER STORM AND SNOWSTORM," $48,225,927.95 ",63966267.3
4267,Pennsylvania,SEVERE WINTER STORM AND SNOWSTORM," $45,248,466.71 ",59838434.53
1957,New York,SEVERE WINTER STORM AND SNOWSTORM," $42,725,102.27 ",56966802.06
4106,Connecticut,SEVERE WINTER STORM AND SNOWSTORM," $31,749,590.95 ",42021024.55
1959,Massachusetts,SEVERE WINTER STORM AND SNOWSTORM," $25,955,715.57 ",34565869.99
1875,Maryland,SEVERE WINTER STORM AND SNOWSTORM," $24,581,512.14 ",32760309.97
4111,New York,SEVERE WINTER STORM AND SNOWSTORM," $23,938,333.17 ",31803594.82
1874,Virginia,SEVERE WINTER STORM AND SNOWSTORM," $22,887,905.74 ",30256783.52
4322,New York,SEVERE WINTER STORM AND SNOWSTORM," $21,464,386.19 ",28618516.15
1889,New Jersey,SEVERE WINTER STORM AND SNOWSTORM," $14,488,213.64 ",19168214.34
1961,Missouri,SEVERE WINTER STORM AND SNOWSTORM," $9,807,841.20 ",13044854.81
4173,Indiana,SEVERE WINTER STORM AND SNOWSTORM," $9,618,232.15 ",12722949.93
4213,Connecticut,SEVERE WINTER STORM AND SNOWSTORM," $9,603,757.08 ",12703775.53
4212,Rhode Island,SEVERE WINTER STORM AND SNOWSTORM," $8,894,054.75 ",11760235.65
4115,South Dakota,SEVERE WINTER STORM AND SNOWSTORM," $8,231,034.73 ",10959740.2
1966,Wisconsin,SEVERE WINTER STORM AND SNOWSTORM," $8,143,719.94 ",10853913.18
4107,Rhode Island,SEVERE WINTER STORM AND SNOWSTORM," $7,929,498.13 ",10493204.48
4105,New Hampshire,SEVERE WINTER STORM AND SNOWSTORM," $6,153,471.49 ",8194417.02
4209,New Hampshire,SEVERE WINTER STORM AND SNOWSTORM," $4,939,214.76 ",6532335.47
1882,District of Columbia,SEVERE WINTER STORM AND SNOWSTORM," $3,536,705.06 ",4715606.65
1985,Oklahoma,SEVERE WINTER STORM AND SNOWSTORM," $3,490,382.10 ",4617398.62
1881,West Virginia,SEVERE WINTER STORM AND SNOWSTORM," $2,944,843.15 ",3928018.38
4265,Delaware,SEVERE WINTER STORM AND SNOWSTORM," $1,514,989.83 ",2013751.87
1886,South Dakota,SEVERE WINTER STORM AND SNOWSTORM," $874,502.99 ",1161740.73
4306,Wyoming,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS," $2,453,757.83 ",3245241.42
4271,Montana,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS," $1,696,751.24 ",2258061.28
4321,Nebraska,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS," $1,426,153.15 ",1894113.07
4210,West Virginia,"SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES"," $31,692,511.80 ",42196096.39
4056,Washington,"SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES"," $30,551,050.13 ",40420912.64
4055,Oregon,"SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES"," $15,279,403.94 ",20219491.31
1963,Washington,"SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES"," $4,630,131.41 ",6173508.33
1956,Oregon,"SEVERE WINTER STORM, FLOODING, MUDSLIDES, LANDSLIDES, AND DEBRIS FLOWS"," $3,990,138.12 ",5272158.81
1817,Washington,"SEVERE WINTER STORM, LANDSLIDES, MUDSLIDES, AND FLOODING"," $52,045,723.18 ",68842600.21
1824,Oregon,"SEVERE WINTER STORM, RECORD AND NEAR RECORD SNOW"," $10,887,118.75 ",14428760.14
4214,Massachusetts,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING"," $84,099,538.73 ",111128413.5
4110,Massachusetts,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING"," $56,936,654.92 ",75340456.71
4155,South Dakota,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING"," $43,113,022.91 ",56550603.11
4204,New York,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING"," $30,882,036.45 ",41154080.72
4108,Maine,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING"," $3,114,956.97 ",4152643.16
4208,Maine,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING"," $2,646,632.26 ",3520215.83
4218,Kentucky,"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"," $20,577,260.90 ",27172850.22
