disasterNumber,State,Title, FederalFunded ,ProjectAmount
3389,Alabama,HURRICANE IRMA," $585,571.92 ",773758.84
4341,Florida,HURRICANE IRMA - SEMINOLE TRIBE OF FLORIDA," $1,344,412.25 ",1578161.84
4080,Louisiana,HURRICANE ISAAC," $332,200,407.11 ",439601054
4081,Mississippi,HURRICANE ISAAC," $40,813,881.86 ",54328246.29
4084,Florida,HURRICANE ISAAC," $21,449,119.72 ",28396052.48
4082,Alabama,HURRICANE ISAAC," $6,678,561.12 ",8834408.89
4339,Puerto Rico,HURRICANE MARIA," $2,456,957,259.80 ",2472316498
4340,Virgin Islands of the U.S.,HURRICANE MARIA," $974,639,564.48 ",1012838819
4283,Florida,HURRICANE MATTHEW," $312,574,714.53 ",398868637.6
4285,North Carolina,HURRICANE MATTHEW," $284,837,158.01 ",373767533.5
4286,South Carolina,HURRICANE MATTHEW," $232,239,375.43 ",299399236.9
4284,Georgia,HURRICANE MATTHEW," $91,695,424.12 ",116884826.8
4291,Virginia,HURRICANE MATTHEW," $15,438,827.18 ",19721826.13
4350,Mississippi,HURRICANE NATE," $2,881,941.39 ",3842588.45
4349,Alabama,HURRICANE NATE," $430,014.52 ",536328.96
3395,Florida,HURRICANE NATE," $10,224.63 ",13632.84
1807,Virgin Islands of the U.S.,HURRICANE OMAR," $8,944,143.65 ",11465125.79
4085,New York,HURRICANE SANDY," $13,982,282,643.51 ",15525212116
4086,New Jersey,HURRICANE SANDY," $1,989,282,582.58 ",2203277843
4087,Connecticut,HURRICANE SANDY," $63,734,167.25 ",84046743.08
4091,Maryland,HURRICANE SANDY," $31,877,461.28 ",42372611.38
4093,West Virginia,HURRICANE SANDY," $14,643,875.57 ",19495344.71
4099,Pennsylvania,HURRICANE SANDY," $12,666,844.02 ",16872622.6
4092,Virginia,HURRICANE SANDY," $10,459,122.12 ",13849189.99
4097,Massachusetts,HURRICANE SANDY," $9,531,684.71 ",12553465.27
4089,Rhode Island,HURRICANE SANDY," $8,629,934.62 ",11399003.57
4090,Delaware,HURRICANE SANDY," $6,615,076.59 ",8816041.59
4096,District of Columbia,HURRICANE SANDY," $3,119,810.75 ",4159747.63
4095,New Hampshire,HURRICANE SANDY," $2,113,605.92 ",2816689.75
3360,New Hampshire,HURRICANE SANDY," $644,300.52 ",861444
3358,West Virginia,HURRICANE SANDY," $19,645.54 ",26194.06
1992,Alaska,ICE JAM AND FLOODING," $1,756,346.80 ",2320419.34
